"titolo","sottotitolo","autore","data","durata","argomenti","prerequisiti","risorse_consigliate","stato"
"Hands-on with AWS VPCs","AWS Virtual Private Cloud and Networking Hands-on Deep Dive","Rick Crisci","2025-08-23","6h","Amazon Web Services (AWS), VPN","Access to an AWS Account that you can experiment with | Watch AWS Certified Solutions Architect - Associate (SAA-C02) [Modules 1/2: Lessons 1-5] | Read AWS Certified Solutions Architect - Associate (SAA-C02) Cert Guide","AWS Certified Solutions Architect - Associate (SAA-C02) | AWS Certified Solutions Architect - Associate (SAA-C02) Cert Guide","ok"
"AWS Security Deep Dive: VPCs, Networking, and DDoS Mitigation","Design secure architectures with VPNs, firewalls, route tables, and more","Rick Crisci","2024-11-10","4h","AWS Networking","A basic familiarity with AWS and the AWS Console | An understanding of basic AWS VPC concepts (Route tables, subnets, etc.) | Access to an AWS Account that you can experiment with | Attend: Hands-on AWS VPCs by Rick Crisci | Watch: AWS Certified SysOps Administrator - Associate (SOA-C02) by Chad Smith","Hands-on AWS VPCs | AWS Certified SysOps Administrator - Associate (SOA-C02)","ok"
"AWS Certified Solutions Architect Associate (SAA-C03) Crash Course","Get ready to crush the AWS Solutions Architect Associate exam!","Chad Smith","2025-03-26","8h","AWS Certified Solutions Architect - Associate","Solid understanding of common technology topics including ipv4 networking, virtual machines, storage choices and multi-tier application architecture | Basic working knowledge of common AWS services such as VPC, EC2, S3, RDS, IAM and others","AWS SAA Certification | AWS Foundations | AWS Solutions Architect Insights (Audio) | AWS Certified Cloud Practitioner (CLF-C01) | Amazon Web Services (AWS), 3rd Edition | AWS Certified Security - Specialty (SCS-C02) | AWS Certified Solutions Architect Associate (SAA-C03) | AWS Certified SysOps Administrator - Associate (SOA-C02) | AWS Certified AI Practitioner (AIF-C01)","ok"
